"entidad","entidad_ascii","distrito","coalicion","grupo_parlamentario","partido_origen"
"COAHUILA","COAHUILA",1,"JUNTOS HACEMOS HISTORIA","PT",\N
"COAHUILA","COAHUILA",2,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"COAHUILA","COAHUILA",3,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"COAHUILA","COAHUILA",4,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"COAHUILA","COAHUILA",5,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"COAHUILA","COAHUILA",6,"JUNTOS HACEMOS HISTORIA","PT",\N
"DURANGO","DURANGO",1,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"DURANGO","DURANGO",2,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"DURANGO","DURANGO",3,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"DURANGO","DURANGO",4,"JUNTOS HACEMOS HISTORIA","PT",\N
"GUANAJUATO","GUANAJUATO",13,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"GUERRERO","GUERRERO",1,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"GUERRERO","GUERRERO",3,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"GUERRERO","GUERRERO",5,"JUNTOS HACEMOS HISTORIA","PT",\N
"GUERRERO","GUERRERO",6,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"GUERRERO","GUERRERO",7,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"GUERRERO","GUERRERO",8,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"HIDALGO","HIDALGO",1,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"HIDALGO","HIDALGO",2,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"HIDALGO","HIDALGO",4,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"HIDALGO","HIDALGO",5,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"HIDALGO","HIDALGO",6,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"JALISCO","JALISCO",1,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"JALISCO","JALISCO",4,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"JALISCO","JALISCO",5,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"JALISCO","JALISCO",6,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"JALISCO","JALISCO",7,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"JALISCO","JALISCO",8,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"JALISCO","JALISCO",9,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"JALISCO","JALISCO",10,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"JALISCO","JALISCO",11,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"JALISCO","JALISCO",12,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"JALISCO","JALISCO",13,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"JALISCO","JALISCO",14,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"JALISCO","JALISCO",15,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"JALISCO","JALISCO",16,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"JALISCO","JALISCO",17,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"JALISCO","JALISCO",18,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"JALISCO","JALISCO",19,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"JALISCO","JALISCO",20,"JUNTOS HACEMOS HISTORIA","PT",\N
"MICHOACÁN","MICHOACAN",3,"JUNTOS HACEMOS HISTORIA","PT",\N
"MICHOACÁN","MICHOACAN",12,"JUNTOS HACEMOS HISTORIA","PT",\N
"MORELOS","MORELOS",2,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"MORELOS","MORELOS",4,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"MÉXICO","MEXICO",1,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"MÉXICO","MEXICO",2,"JUNTOS HACEMOS HISTORIA","PT",\N
"MÉXICO","MEXICO",3,"JUNTOS HACEMOS HISTORIA","PT",\N
"MÉXICO","MEXICO",4,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"MÉXICO","MEXICO",5,"JUNTOS HACEMOS HISTORIA","PT",\N
"MÉXICO","MEXICO",6,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"MÉXICO","MEXICO",12,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"MÉXICO","MEXICO",14,"JUNTOS HACEMOS HISTORIA","PT",\N
"MÉXICO","MEXICO",15,"JUNTOS HACEMOS HISTORIA","PT",\N
"MÉXICO","MEXICO",16,"JUNTOS HACEMOS HISTORIA","PT",\N
"MÉXICO","MEXICO",24,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"MÉXICO","MEXICO",26,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"MÉXICO","MEXICO",27,"JUNTOS HACEMOS HISTORIA","PT",\N
"MÉXICO","MEXICO",30,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"MÉXICO","MEXICO",32,"JUNTOS HACEMOS HISTORIA","PT",\N
"MÉXICO","MEXICO",34,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"MÉXICO","MEXICO",35,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"MÉXICO","MEXICO",39,"JUNTOS HACEMOS HISTORIA","PT",\N
"MÉXICO","MEXICO",41,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"NAYARIT","NAYARIT",1,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"NAYARIT","NAYARIT",2,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"NAYARIT","NAYARIT",3,"JUNTOS HACEMOS HISTORIA","PT",\N
"NUEVO LEÓN","NUEVO LEON",2,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"NUEVO LEÓN","NUEVO LEON",3,"JUNTOS HACEMOS HISTORIA","PT",\N
"NUEVO LEÓN","NUEVO LEON",5,"JUNTOS HACEMOS HISTORIA","PT",\N
"NUEVO LEÓN","NUEVO LEON",7,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"NUEVO LEÓN","NUEVO LEON",8,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"NUEVO LEÓN","NUEVO LEON",10,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"NUEVO LEÓN","NUEVO LEON",11,"JUNTOS HACEMOS HISTORIA","PT",\N
"NUEVO LEÓN","NUEVO LEON",12,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"OAXACA","OAXACA",1,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"OAXACA","OAXACA",3,"JUNTOS HACEMOS HISTORIA","PT",\N
"OAXACA","OAXACA",4,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"OAXACA","OAXACA",5,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"OAXACA","OAXACA",7,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"OAXACA","OAXACA",8,"JUNTOS HACEMOS HISTORIA","PT",\N
"OAXACA","OAXACA",9,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"PUEBLA","PUEBLA",1,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"PUEBLA","PUEBLA",2,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"PUEBLA","PUEBLA",3,"JUNTOS HACEMOS HISTORIA","PT",\N
"PUEBLA","PUEBLA",4,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"PUEBLA","PUEBLA",5,"JUNTOS HACEMOS HISTORIA","PT",\N
"PUEBLA","PUEBLA",6,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"PUEBLA","PUEBLA",7,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"PUEBLA","PUEBLA",8,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"PUEBLA","PUEBLA",9,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"PUEBLA","PUEBLA",10,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"PUEBLA","PUEBLA",11,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"PUEBLA","PUEBLA",12,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"PUEBLA","PUEBLA",13,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"PUEBLA","PUEBLA",14,"JUNTOS HACEMOS HISTORIA","PT",\N
"PUEBLA","PUEBLA",15,"JUNTOS HACEMOS HISTORIA","PT",\N
"QUERÉTARO","QUERETARO",2,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"QUERÉTARO","QUERETARO",3,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"QUINTANA ROO","QUINTANA ROO",1,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"QUINTANA ROO","QUINTANA ROO",2,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"QUINTANA ROO","QUINTANA ROO",3,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"QUINTANA ROO","QUINTANA ROO",4,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"SAN LUIS POTOSÍ","SAN LUIS POTOSI",1,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"SAN LUIS POTOSÍ","SAN LUIS POTOSI",3,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"SAN LUIS POTOSÍ","SAN LUIS POTOSI",4,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"SAN LUIS POTOSÍ","SAN LUIS POTOSI",5,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"SAN LUIS POTOSÍ","SAN LUIS POTOSI",6,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"SAN LUIS POTOSÍ","SAN LUIS POTOSI",7,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"SINALOA","SINALOA",1,"JUNTOS HACEMOS HISTORIA","PT",\N
"SINALOA","SINALOA",2,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"SINALOA","SINALOA",3,"JUNTOS HACEMOS HISTORIA","PT",\N
"SINALOA","SINALOA",5,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"SINALOA","SINALOA",7,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"SONORA","SONORA",2,"JUNTOS HACEMOS HISTORIA","PT",\N
"SONORA","SONORA",3,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"SONORA","SONORA",5,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"SONORA","SONORA",7,"JUNTOS HACEMOS HISTORIA","PT",\N
"TAMAULIPAS","TAMAULIPAS",1,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"TAMAULIPAS","TAMAULIPAS",2,"JUNTOS HACEMOS HISTORIA","PT",\N
"TAMAULIPAS","TAMAULIPAS",3,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"TAMAULIPAS","TAMAULIPAS",4,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"TAMAULIPAS","TAMAULIPAS",5,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"TAMAULIPAS","TAMAULIPAS",7,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"TAMAULIPAS","TAMAULIPAS",8,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"TAMAULIPAS","TAMAULIPAS",9,"JUNTOS HACEMOS HISTORIA","PT",\N
"TLAXCALA","TLAXCALA",1,"JUNTOS HACEMOS HISTORIA","PT",\N
"TLAXCALA","TLAXCALA",2,"JUNTOS HACEMOS HISTORIA","PT",\N
"VERACRUZ","VERACRUZ",1,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"VERACRUZ","VERACRUZ",2,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"VERACRUZ","VERACRUZ",3,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"VERACRUZ","VERACRUZ",4,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"VERACRUZ","VERACRUZ",5,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"VERACRUZ","VERACRUZ",8,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"VERACRUZ","VERACRUZ",12,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"VERACRUZ","VERACRUZ",13,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"VERACRUZ","VERACRUZ",14,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"VERACRUZ","VERACRUZ",15,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"VERACRUZ","VERACRUZ",16,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"VERACRUZ","VERACRUZ",17,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"VERACRUZ","VERACRUZ",18,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"VERACRUZ","VERACRUZ",19,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"YUCATÁN","YUCATAN",2,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"YUCATÁN","YUCATAN",5,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"ZACATECAS","ZACATECAS",1,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"ZACATECAS","ZACATECAS",2,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"ZACATECAS","ZACATECAS",3,"JUNTOS HACEMOS HISTORIA","PT",\N
"AGUASCALIENTES","AGUASCALIENTES",1,"VA POR MEXICO","PAN",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",1,"VA POR MEXICO","PAN",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",3,"VA POR MEXICO","PRI",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",4,"VA POR MEXICO","PRI",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",5,"VA POR MEXICO","PAN",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",6,"VA POR MEXICO","PRD",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",7,"VA POR MEXICO","PRI",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",8,"VA POR MEXICO","PRD",\N
"BAJA CALIFORNIA SUR","BAJA CALIFORNIA SUR",1,"VA POR MEXICO","PAN",\N
"BAJA CALIFORNIA SUR","BAJA CALIFORNIA SUR",2,"VA POR MEXICO","PRD",\N
"CAMPECHE","CAMPECHE",1,"VA POR MEXICO","PRI",\N
"CAMPECHE","CAMPECHE",2,"VA POR MEXICO","PAN",\N
"CHIAPAS","CHIAPAS",1,"VA POR MEXICO","PRD",\N
"CHIAPAS","CHIAPAS",2,"VA POR MEXICO","PRI",\N
"CHIAPAS","CHIAPAS",3,"VA POR MEXICO","PRD",\N
"CHIAPAS","CHIAPAS",4,"VA POR MEXICO","PAN",\N
"CHIAPAS","CHIAPAS",5,"VA POR MEXICO","PRI",\N
"CHIAPAS","CHIAPAS",6,"VA POR MEXICO","PRD",\N
"CHIAPAS","CHIAPAS",7,"VA POR MEXICO","PAN",\N
"CHIAPAS","CHIAPAS",8,"VA POR MEXICO","PRI",\N
"CHIAPAS","CHIAPAS",9,"VA POR MEXICO","PAN",\N
"CHIAPAS","CHIAPAS",10,"VA POR MEXICO","PRI",\N
"CHIAPAS","CHIAPAS",11,"VA POR MEXICO","PRD",\N
"CHIAPAS","CHIAPAS",12,"VA POR MEXICO","PRI",\N
"CHIAPAS","CHIAPAS",13,"VA POR MEXICO","PRD",\N
"CHIHUAHUA","CHIHUAHUA",1,"VA POR MEXICO","PRD",\N
"CHIHUAHUA","CHIHUAHUA",2,"VA POR MEXICO","PRD",\N
"CHIHUAHUA","CHIHUAHUA",3,"VA POR MEXICO","PRD",\N
"CHIHUAHUA","CHIHUAHUA",4,"VA POR MEXICO","PAN",\N
"CHIHUAHUA","CHIHUAHUA",5,"VA POR MEXICO","PAN",\N
"CHIHUAHUA","CHIHUAHUA",7,"VA POR MEXICO","PAN",\N
"CHIHUAHUA","CHIHUAHUA",9,"VA POR MEXICO","PAN",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",1,"VA POR MEXICO","PRD",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",2,"VA POR MEXICO","PRI",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",3,"VA POR MEXICO","PAN",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",4,"VA POR MEXICO","PRD",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",5,"VA POR MEXICO","PRI",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",6,"VA POR MEXICO","PAN",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",7,"VA POR MEXICO","PRD",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",8,"VA POR MEXICO","PRI",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",9,"VA POR MEXICO","PRD",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",10,"VA POR MEXICO","PAN",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",11,"VA POR MEXICO","PRD",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",12,"VA POR MEXICO","PRD",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",13,"VA POR MEXICO","PRD",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",14,"VA POR MEXICO","PRD",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",15,"VA POR MEXICO","PAN",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",16,"VA POR MEXICO","PRI",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",17,"VA POR MEXICO","PAN",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",18,"VA POR MEXICO","PRD",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",19,"VA POR MEXICO","PRI",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",20,"VA POR MEXICO","PRD",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",21,"VA POR MEXICO","PRI",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",22,"VA POR MEXICO","PRI",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",23,"VA POR MEXICO","PAN",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",24,"VA POR MEXICO","PAN",\N
"COLIMA","COLIMA",1,"VA POR MEXICO","PAN",\N
"COLIMA","COLIMA",2,"VA POR MEXICO","PRI",\N
"DURANGO","DURANGO",1,"VA POR MEXICO","PAN",\N
"DURANGO","DURANGO",2,"VA POR MEXICO","PRI",\N
"DURANGO","DURANGO",3,"VA POR MEXICO","PRD",\N
"DURANGO","DURANGO",4,"VA POR MEXICO","PAN",\N
"GUANAJUATO","GUANAJUATO",8,"VA POR MEXICO","PAN",\N
"GUERRERO","GUERRERO",1,"VA POR MEXICO","PRI",\N
"GUERRERO","GUERRERO",3,"VA POR MEXICO","PRD",\N
"GUERRERO","GUERRERO",4,"VA POR MEXICO","PRD",\N
"GUERRERO","GUERRERO",5,"VA POR MEXICO","PRD",\N
"GUERRERO","GUERRERO",6,"VA POR MEXICO","PRD",\N
"GUERRERO","GUERRERO",7,"VA POR MEXICO","PRI",\N
"GUERRERO","GUERRERO",8,"VA POR MEXICO","PRI",\N
"GUERRERO","GUERRERO",9,"VA POR MEXICO","PRI",\N
"HIDALGO","HIDALGO",1,"VA POR MEXICO","PRI",\N
"HIDALGO","HIDALGO",2,"VA POR MEXICO","PAN",\N
"HIDALGO","HIDALGO",3,"VA POR MEXICO","PRD",\N
"HIDALGO","HIDALGO",4,"VA POR MEXICO","PAN",\N
"HIDALGO","HIDALGO",5,"VA POR MEXICO","PRD",\N
"HIDALGO","HIDALGO",6,"VA POR MEXICO","PRI",\N
"HIDALGO","HIDALGO",7,"VA POR MEXICO","PRI",\N
"JALISCO","JALISCO",1,"VA POR MEXICO","PAN",\N
"JALISCO","JALISCO",2,"VA POR MEXICO","PAN",\N
"JALISCO","JALISCO",3,"VA POR MEXICO","PAN",\N
"JALISCO","JALISCO",4,"VA POR MEXICO","PRI",\N
"JALISCO","JALISCO",5,"VA POR MEXICO","PRD",\N
"JALISCO","JALISCO",6,"VA POR MEXICO","PAN",\N
"JALISCO","JALISCO",7,"VA POR MEXICO","PRI",\N
"JALISCO","JALISCO",8,"VA POR MEXICO","PAN",\N
"JALISCO","JALISCO",9,"VA POR MEXICO","PRD",\N
"JALISCO","JALISCO",10,"VA POR MEXICO","PAN",\N
"JALISCO","JALISCO",11,"VA POR MEXICO","PRI",\N
"JALISCO","JALISCO",12,"VA POR MEXICO","PRD",\N
"JALISCO","JALISCO",13,"VA POR MEXICO","PAN",\N
"JALISCO","JALISCO",14,"VA POR MEXICO","PRD",\N
"JALISCO","JALISCO",15,"VA POR MEXICO","PAN",\N
"JALISCO","JALISCO",16,"VA POR MEXICO","PRD",\N
"JALISCO","JALISCO",17,"VA POR MEXICO","PRI",\N
"JALISCO","JALISCO",18,"VA POR MEXICO","PRI",\N
"JALISCO","JALISCO",19,"VA POR MEXICO","PRD",\N
"JALISCO","JALISCO",20,"VA POR MEXICO","PRI",\N
"MICHOACÁN","MICHOACAN",1,"VA POR MEXICO","PRI",\N
"MICHOACÁN","MICHOACAN",2,"VA POR MEXICO","PRD",\N
"MICHOACÁN","MICHOACAN",3,"VA POR MEXICO","PRD",\N
"MICHOACÁN","MICHOACAN",4,"VA POR MEXICO","PAN",\N
"MICHOACÁN","MICHOACAN",5,"VA POR MEXICO","PAN",\N
"MICHOACÁN","MICHOACAN",6,"VA POR MEXICO","PAN",\N
"MICHOACÁN","MICHOACAN",7,"VA POR MEXICO","PRI",\N
"MICHOACÁN","MICHOACAN",8,"VA POR MEXICO","PRI",\N
"MICHOACÁN","MICHOACAN",9,"VA POR MEXICO","PRD",\N
"MICHOACÁN","MICHOACAN",10,"VA POR MEXICO","PAN",\N
"MICHOACÁN","MICHOACAN",11,"VA POR MEXICO","PRD",\N
"MICHOACÁN","MICHOACAN",12,"VA POR MEXICO","PRI",\N
"MÉXICO","MEXICO",1,"VA POR MEXICO","PRI",\N
"MÉXICO","MEXICO",2,"VA POR MEXICO","PRD",\N
"MÉXICO","MEXICO",3,"VA POR MEXICO","PRI",\N
"MÉXICO","MEXICO",6,"VA POR MEXICO","PRD",\N
"MÉXICO","MEXICO",7,"VA POR MEXICO","PAN",\N
"MÉXICO","MEXICO",9,"VA POR MEXICO","PRI",\N
"MÉXICO","MEXICO",14,"VA POR MEXICO","PAN",\N
"MÉXICO","MEXICO",15,"VA POR MEXICO","PAN",\N
"MÉXICO","MEXICO",19,"VA POR MEXICO","PAN",\N
"MÉXICO","MEXICO",20,"VA POR MEXICO","PRD",\N
"MÉXICO","MEXICO",24,"VA POR MEXICO","PAN",\N
"MÉXICO","MEXICO",26,"VA POR MEXICO","PRI",\N
"MÉXICO","MEXICO",27,"VA POR MEXICO","PRI",\N
"MÉXICO","MEXICO",29,"VA POR MEXICO","PRD",\N
"MÉXICO","MEXICO",31,"VA POR MEXICO","PRD",\N
"MÉXICO","MEXICO",32,"VA POR MEXICO","PRD",\N
"MÉXICO","MEXICO",33,"VA POR MEXICO","PRI",\N
"MÉXICO","MEXICO",34,"VA POR MEXICO","PAN",\N
"MÉXICO","MEXICO",35,"VA POR MEXICO","PRI",\N
"MÉXICO","MEXICO",36,"VA POR MEXICO","PRI",\N
"MÉXICO","MEXICO",39,"VA POR MEXICO","PRI",\N
"MÉXICO","MEXICO",40,"VA POR MEXICO","PAN",\N
"MÉXICO","MEXICO",41,"VA POR MEXICO","PRI",\N
"NAYARIT","NAYARIT",1,"VA POR MEXICO","PRI",\N
"NAYARIT","NAYARIT",2,"VA POR MEXICO","PRD",\N
