"entidad","entidad_ascii","distrito","coalicion","grupo_parlamentario","partido_origen"
"CHIHUAHUA","CHIHUAHUA",8,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"CHIHUAHUA","CHIHUAHUA",9,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",1,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",2,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",3,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",4,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",5,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",6,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",7,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",8,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",9,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",10,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",11,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",12,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",13,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",14,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",15,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",16,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",17,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",18,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",19,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",20,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",21,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",22,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"COAHUILA","COAHUILA",1,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"COAHUILA","COAHUILA",2,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"COAHUILA","COAHUILA",3,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"COAHUILA","COAHUILA",4,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"COAHUILA","COAHUILA",5,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"COAHUILA","COAHUILA",6,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"COAHUILA","COAHUILA",7,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"COAHUILA","COAHUILA",8,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"COLIMA","COLIMA",1,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"COLIMA","COLIMA",2,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"DURANGO","DURANGO",1,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"DURANGO","DURANGO",2,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"DURANGO","DURANGO",3,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"DURANGO","DURANGO",4,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"GUANAJUATO","GUANAJUATO",1,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"GUANAJUATO","GUANAJUATO",2,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"GUANAJUATO","GUANAJUATO",3,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"GUANAJUATO","GUANAJUATO",5,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"GUANAJUATO","GUANAJUATO",8,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"GUANAJUATO","GUANAJUATO",9,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"GUANAJUATO","GUANAJUATO",10,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"GUANAJUATO","GUANAJUATO",12,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"GUANAJUATO","GUANAJUATO",13,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"GUANAJUATO","GUANAJUATO",14,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"GUANAJUATO","GUANAJUATO",15,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"GUERRERO","GUERRERO",1,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"GUERRERO","GUERRERO",2,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"GUERRERO","GUERRERO",3,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"GUERRERO","GUERRERO",4,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"GUERRERO","GUERRERO",5,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"GUERRERO","GUERRERO",6,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"GUERRERO","GUERRERO",7,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"GUERRERO","GUERRERO",8,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"HIDALGO","HIDALGO",1,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"HIDALGO","HIDALGO",2,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"HIDALGO","HIDALGO",3,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"HIDALGO","HIDALGO",4,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"HIDALGO","HIDALGO",5,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"HIDALGO","HIDALGO",6,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"HIDALGO","HIDALGO",7,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"JALISCO","JALISCO",1,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"JALISCO","JALISCO",2,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"JALISCO","JALISCO",3,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"JALISCO","JALISCO",4,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"JALISCO","JALISCO",5,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"JALISCO","JALISCO",6,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"JALISCO","JALISCO",7,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"JALISCO","JALISCO",8,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"JALISCO","JALISCO",9,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"JALISCO","JALISCO",10,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"JALISCO","JALISCO",11,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"JALISCO","JALISCO",13,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"JALISCO","JALISCO",15,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"JALISCO","JALISCO",16,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"JALISCO","JALISCO",17,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"JALISCO","JALISCO",18,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"JALISCO","JALISCO",19,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"JALISCO","JALISCO",20,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"MÉXICO","MEXICO",2,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"MÉXICO","MEXICO",3,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"MÉXICO","MEXICO",4,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"MÉXICO","MEXICO",5,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"MÉXICO","MEXICO",7,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"MÉXICO","MEXICO",9,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"MÉXICO","MEXICO",10,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"MÉXICO","MEXICO",11,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"MÉXICO","MEXICO",12,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"MÉXICO","MEXICO",13,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"MÉXICO","MEXICO",14,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"MÉXICO","MEXICO",16,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"MÉXICO","MEXICO",17,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"MÉXICO","MEXICO",19,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"MÉXICO","MEXICO",20,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"MÉXICO","MEXICO",22,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"MÉXICO","MEXICO",23,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"MÉXICO","MEXICO",24,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"MÉXICO","MEXICO",26,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"MÉXICO","MEXICO",27,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"MÉXICO","MEXICO",28,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"MÉXICO","MEXICO",29,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"MÉXICO","MEXICO",30,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"MÉXICO","MEXICO",31,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"MÉXICO","MEXICO",34,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"MÉXICO","MEXICO",36,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"MÉXICO","MEXICO",37,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"MÉXICO","MEXICO",38,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"MÉXICO","MEXICO",39,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"MÉXICO","MEXICO",40,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"MICHOACÁN","MICHOACAN",1,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"MICHOACÁN","MICHOACAN",3,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"MICHOACÁN","MICHOACAN",4,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"MICHOACÁN","MICHOACAN",5,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"MICHOACÁN","MICHOACAN",6,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"MICHOACÁN","MICHOACAN",7,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"MICHOACÁN","MICHOACAN",8,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"MICHOACÁN","MICHOACAN",9,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"MICHOACÁN","MICHOACAN",10,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"MICHOACÁN","MICHOACAN",11,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"MORELOS","MORELOS",1,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"MORELOS","MORELOS",2,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"MORELOS","MORELOS",3,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"MORELOS","MORELOS",4,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"MORELOS","MORELOS",5,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"NAYARIT","NAYARIT",1,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"NAYARIT","NAYARIT",2,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"NAYARIT","NAYARIT",3,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"NUEVO LEÓN","NUEVO LEON",1,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"NUEVO LEÓN","NUEVO LEON",2,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"NUEVO LEÓN","NUEVO LEON",3,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"NUEVO LEÓN","NUEVO LEON",4,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"NUEVO LEÓN","NUEVO LEON",5,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"NUEVO LEÓN","NUEVO LEON",6,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"NUEVO LEÓN","NUEVO LEON",7,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"NUEVO LEÓN","NUEVO LEON",8,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"NUEVO LEÓN","NUEVO LEON",9,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"NUEVO LEÓN","NUEVO LEON",10,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"NUEVO LEÓN","NUEVO LEON",11,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"NUEVO LEÓN","NUEVO LEON",12,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"NUEVO LEÓN","NUEVO LEON",13,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"NUEVO LEÓN","NUEVO LEON",14,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"OAXACA","OAXACA",4,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"OAXACA","OAXACA",5,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"OAXACA","OAXACA",7,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"OAXACA","OAXACA",8,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"OAXACA","OAXACA",9,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"PUEBLA","PUEBLA",2,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"PUEBLA","PUEBLA",3,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"PUEBLA","PUEBLA",4,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"PUEBLA","PUEBLA",7,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"PUEBLA","PUEBLA",8,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"PUEBLA","PUEBLA",10,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"PUEBLA","PUEBLA",13,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"PUEBLA","PUEBLA",14,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"PUEBLA","PUEBLA",15,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"PUEBLA","PUEBLA",16,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"QUERÉTARO","QUERETARO",1,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"QUERÉTARO","QUERETARO",2,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"QUERÉTARO","QUERETARO",3,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"QUERÉTARO","QUERETARO",4,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"QUERÉTARO","QUERETARO",5,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"QUERÉTARO","QUERETARO",6,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"QUINTANA ROO","QUINTANA ROO",1,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"QUINTANA ROO","QUINTANA ROO",2,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"QUINTANA ROO","QUINTANA ROO",3,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"QUINTANA ROO","QUINTANA ROO",4,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"SAN LUIS POTOSÍ","SAN LUIS POTOSI",1,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"SAN LUIS POTOSÍ","SAN LUIS POTOSI",3,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"SAN LUIS POTOSÍ","SAN LUIS POTOSI",4,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"SAN LUIS POTOSÍ","SAN LUIS POTOSI",5,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"SAN LUIS POTOSÍ","SAN LUIS POTOSI",6,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"SAN LUIS POTOSÍ","SAN LUIS POTOSI",7,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"SINALOA","SINALOA",1,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"SINALOA","SINALOA",2,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"SINALOA","SINALOA",3,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"SINALOA","SINALOA",4,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"SINALOA","SINALOA",5,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"SINALOA","SINALOA",6,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"SINALOA","SINALOA",7,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"SONORA","SONORA",1,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"SONORA","SONORA",2,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"SONORA","SONORA",3,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"SONORA","SONORA",4,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"SONORA","SONORA",5,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"SONORA","SONORA",6,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"SONORA","SONORA",7,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"TABASCO","TABASCO",1,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"TABASCO","TABASCO",2,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"TABASCO","TABASCO",3,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"TABASCO","TABASCO",4,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"TABASCO","TABASCO",5,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"TABASCO","TABASCO",6,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"TAMAULIPAS","TAMAULIPAS",1,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"TAMAULIPAS","TAMAULIPAS",2,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"TAMAULIPAS","TAMAULIPAS",3,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"TAMAULIPAS","TAMAULIPAS",4,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"TAMAULIPAS","TAMAULIPAS",5,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"TAMAULIPAS","TAMAULIPAS",6,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"TAMAULIPAS","TAMAULIPAS",7,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"TAMAULIPAS","TAMAULIPAS",8,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"TLAXCALA","TLAXCALA",1,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"TLAXCALA","TLAXCALA",3,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"VERACRUZ","VERACRUZ",1,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"VERACRUZ","VERACRUZ",2,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"VERACRUZ","VERACRUZ",3,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"VERACRUZ","VERACRUZ",4,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"VERACRUZ","VERACRUZ",5,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"VERACRUZ","VERACRUZ",6,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"VERACRUZ","VERACRUZ",7,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"VERACRUZ","VERACRUZ",8,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"VERACRUZ","VERACRUZ",9,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"VERACRUZ","VERACRUZ",10,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"VERACRUZ","VERACRUZ",11,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"VERACRUZ","VERACRUZ",12,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"VERACRUZ","VERACRUZ",13,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"VERACRUZ","VERACRUZ",14,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"VERACRUZ","VERACRUZ",15,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"VERACRUZ","VERACRUZ",16,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"VERACRUZ","VERACRUZ",17,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"VERACRUZ","VERACRUZ",18,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"VERACRUZ","VERACRUZ",19,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"YUCATÁN","YUCATAN",1,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"YUCATÁN","YUCATAN",2,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"YUCATÁN","YUCATAN",3,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"YUCATÁN","YUCATAN",4,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"YUCATÁN","YUCATAN",5,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"YUCATÁN","YUCATAN",6,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"ZACATECAS","ZACATECAS",1,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"ZACATECAS","ZACATECAS",2,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"ZACATECAS","ZACATECAS",3,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"ZACATECAS","ZACATECAS",4,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"AGUASCALIENTES","AGUASCALIENTES",1,"SIGAMOS HACIENDO HISTORIA","PVEM",\N
"AGUASCALIENTES","AGUASCALIENTES",2,"SIGAMOS HACIENDO HISTORIA","MORENA",\N
"AGUASCALIENTES","AGUASCALIENTES",3,"SIGAMOS HACIENDO HISTORIA","MORENA",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",8,"SIGAMOS HACIENDO HISTORIA","PVEM",\N
"BAJA CALIFORNIA SUR","BAJA CALIFORNIA SUR",1,"SIGAMOS HACIENDO HISTORIA","PVEM",\N
"BAJA CALIFORNIA SUR","BAJA CALIFORNIA SUR",2,"SIGAMOS HACIENDO HISTORIA","PT",\N
"CAMPECHE","CAMPECHE",1,"SIGAMOS HACIENDO HISTORIA","MORENA",\N
"CAMPECHE","CAMPECHE",2,"SIGAMOS HACIENDO HISTORIA","MORENA",\N
"COAHUILA","COAHUILA",1,"SIGAMOS HACIENDO HISTORIA","PT",\N
"COAHUILA","COAHUILA",2,"SIGAMOS HACIENDO HISTORIA","MORENA",\N
"COAHUILA","COAHUILA",3,"SIGAMOS HACIENDO HISTORIA","PT",\N
"COAHUILA","COAHUILA",4,"SIGAMOS HACIENDO HISTORIA","PT",\N
"COAHUILA","COAHUILA",5,"SIGAMOS HACIENDO HISTORIA","PVEM",\N
"COAHUILA","COAHUILA",6,"SIGAMOS HACIENDO HISTORIA","MORENA",\N
"COAHUILA","COAHUILA",7,"SIGAMOS HACIENDO HISTORIA","MORENA",\N
"COAHUILA","COAHUILA",8,"SIGAMOS HACIENDO HISTORIA","PVEM",\N
"COLIMA","COLIMA",1,"SIGAMOS HACIENDO HISTORIA","MORENA",\N
"COLIMA","COLIMA",2,"SIGAMOS HACIENDO HISTORIA","MORENA",\N
"CHIAPAS","CHIAPAS",1,"SIGAMOS HACIENDO HISTORIA","PT",\N
"CHIAPAS","CHIAPAS",2,"SIGAMOS HACIENDO HISTORIA","MORENA",\N
"CHIAPAS","CHIAPAS",3,"SIGAMOS HACIENDO HISTORIA","MORENA",\N
"CHIAPAS","CHIAPAS",4,"SIGAMOS HACIENDO HISTORIA","MORENA",\N
"CHIAPAS","CHIAPAS",6,"SIGAMOS HACIENDO HISTORIA","MORENA",\N
